ab "+ D/ + A Präp/Adv 从......起; 从......开始 ab und zu 有时"
ab/bauen "Vt 拆卸; 降低; 开矿; 分解"
ab/bestellen "Vt 取消(订货), 回掉预约"
ab/biegen "Vt/Vi 拐弯"
ab/bilden "Vt, 塑造"
ab/brechen "Vt 拆断; 拆除; 中断"
ab/fahren "(fährt ab, fuhr ab, ist abgefahren) 车驶出, 出发"
ab/fertigen "Vt 办理(包裹, 行李运 寄, 准备车、船等)手续, 接待(顾 客)等"
ab/finden "1.Vt 补偿 2. + sich 满足于，和解 "
ab/fliegen "Vi (gliegt ab, flog ab, ist abgeflogen) 起飞"
ab/fragen "Vt 考问, 问"
ab/geben "Vt (gibt ab, gab ab, abgegeben) 交给, 交还, 寄存"
ab/gewöhnen "Vt 使戒除, 戒掉"
ab/graben "Vt, 挖沟(排水)"
ab/grenzen "Vt (gegen/von) 确定界 线, 划分"
ab/halten "Vt 挡住,妨碍; 举行"
ab/hängen "+von (hängt ab, hing ab, abgehangen) 依赖, 取决于"
ab/holen "Vt 取, 提取, 接, 迎接"
ab/kehren "1. Vt 扫除 2. + sich 转向"
ab/laufen "(läuft ab, lief ab, ist abgelaufen) vi 流走; 进行, 经过; 过期"
ab/legen "Vt 放下; 脱衣(帽)； eine Prüfung ablegen 参加一次考 试"
ab/lehnen "Vt 拒绝"
ab/leiten "Vt 导出"
ab/lesen "Vt 照本宣读; 采摘; 看出"
ab/lösen "1. Vt 解开, 松开; 接替, 换班; 付清, 偿还; 揭下, 分开 2. + sich 交替"
ab/machen "Vt (+ mit D) 取下, 去掉; 约定, 结束"
ab/melden "Vt (+ von D) / + sich 报 告, 通知"
ab/nehmen "Vt (nimmt ab, nahm ab, abgenommen) 取下, 减少, 变瘦, 减轻体重"
ab/reisen "(s.) Vi 动身, 出发"
ab/reißen "1. Vt 撕下; 穿破 2.Vi 拆 断"
ab/rüsten "Vt/Vi 裁减军备"
ab/rufen "调出, 提取"
ab/sagen "Vt 通知取消; 回绝"
ab/schaffen "Vt 废除, 取消, 撤消"
ab/schalten "1.Vt 切断, 关 2. Vi 注 意力不集中"
ab/schätzen "Vt 估计, 估价"
ab/scheiden "1. Vt 分离; 分泌; 排除 2. Vi 脱离, 退职"
ab/schieben "Vt 推开，驱逐"
ab/schließen "vt (schließt ab, schloß ab, abgeschlossen) 锁上; 结 束; 签订"
ab/schneiden "1. Vt 剪下, 打断; 封锁 2. Vi 获得 ......结果"
ab/schreiben "Vt (schreibt ab, schrieb ab, abgeschrieben) 抄写; 抄袭， 写坏"
ab/schwören "Vt/Vi 发誓放弃"
ab/sehen "1. Vt (sieht ab, sah ab, hat abgesehen)预见, 认出; 学会 2. Vi 不考虑； abgesehen von 除外"
ab/setzen "1. Vt 取下, 让......下车; 使沉淀; 免职; 扣除 2. Vi 停止"
ab/sichern "Vt 使安全, 使保险, 使得 到保障"
ab/spielen "+ sich 发生, 进行"
ab/steigen "Vi 下(车, 马)"
ab/stellen "Vt 关掉; 放下, 停放"
ab/sterben "Vi 死; 枯萎; (医)(组 织)坏死; 麻木, 失去感觉"
ab/stimmen "1. Vt (+ auf A) 调准 2. Vi (+ über A) 表决"
ab/stoßen "Vt, 撞落,脱落"
abstrahieren "1. Vt 概括 2.Vi 放弃"
ab/tasten "Vt 触摸，扫描"
ab/trocknen "+ A Vt 擦干, 晾干"
ab/tun "Vt 取下;解决; 杀死"
ab/warten "Vt 耐心等待"
ab/wechseln "Vt ( + sich ) 交替/ Vi 交替, 轮班, 轮流"
ab/wehren "Vt 击退; 防止; 拒绝"
ab/weichen "Vi (weicht ab, wich ab, ist abgewichen) (von) 偏离, 与 ......不同"
ab/weisen "Vt 拒绝, 谢绝; 击退"
ab/wenden "1. Vt 转开, 挡住; 防止 2. + sich 转过脸去; 疏远"
ab/ziehen "1. Vt (+ von D) 脱去; 撤出; 扣除 2. Vi 离去"
Abbau "m, 降低; 分解"
Abbildung "f, -en 插图, 画, 描画"
Abbruch "m, ⸚e 拆除 ; 停止, 中断; 损害"
abend "Adv 黄昏 (旧正字法)"
Abend "m, -e 晚上, 晚会； Guten Abend! 晚上好!"
Abendessen "n, o. Pl 晚饭"
Abendkurs "m, -e 夜校"
Abendland "n, o. Pl 西方, 西部世界, 欧洲"
abends "Adv 在晚上"
Abendsonnenschein "m, -e 夕照, 晚霞"
Abenteuer "n, - 冒险, 奇遇"
abenteuerlich "Adj, 惊险的, 冒险 的"
aber "Konj / Adv 但是, 可是"
abermals "Adv 再一次地"
Abfahrt "f, -en 出发, 驶出"
Abfall "m, ⸚e 碎屑, 废物, 垃圾"
Abfallerzeugnis "n 废料产品"
Abfallpapier "n 废纸"
Abfallverwertung "f 废料利用"
Abfallwärme "f 废热"
Abfrage "f, -n 提问, 考问"
Abgabe "f, -n 交付, 交货; 费 用"
Abgas "n, -e 废气; 泄漏的气体"
Abgasschicht "f, -en 废气层"
Angebot "n, -e 提供, 供应; 报价; 提议, 建议"
Abgeordnete "m/f (dekl. wie Adj) 议员, 代表"
Abgrund "m, ⸚e 深渊, 深谷; "
Abhandlung "f, -en 论文"
abhängig "Adj 依赖的, 依附的, 从属的"
Abitur "n, -e 高中毕业(考试)"
Abkommen "n 协议, 协定, 条约,公约"
Abkürzung "f, -en 简缩, 缩写"
Ablagerung "f 沉积物, 存放物"
Ablauf "m, ⸚e 流出; 排水口, (时 间的) 经过"
Ableben "n 死亡, 去世"
Ablehnung "f, -en 拒绝, 否决,不同意"
Abmachung "f, -en 协定, 协议, 约定"
Abnahme "f, o. Pl 减少"
Abneigung "f, -en 嫌恶, 反感"
abonnieren "Vt 订阅(报刊)"
Abrechnung "f, -en 结算; 扣除"
Abreise "f, o. Pl 启程, 动身, 行期"
Absage "f, -n 回绝; 取消; (广播等)结 束"
Absatz "m, ⸚0e段落; 销路"
Absatzmarkt "m 销售市场"
Abschied "m, -e 离别, 告别 Abschied von jdm. nehmen 与 ......告别"
abschließend "Adj 最后"
Abschluss "m, ..schlüsse 结束; 签 订"
Abschnitt "m, -e 部分; 文章段落; 时期"
abschnittsweise "Adv 逐段地, 逐 章地"
abschrecken "Vt 吓退，吓倒"
Abschreckung "f, -en 威慑"
Abschrift "f, -en 副本"
absehbar "Adj 可以看见的"
Absender "m, - 寄信人, 寄件人"
Absicht "f, -en 意图, 目的 mit Absicht 故意； ohne Absicht 无意"
absichtlich "Adj 有意的，故意的"
absolut "Adj 绝对的"
Absolvent "m, -en 毕业生"
absolvieren "Vt 毕业, 学完"
absorbieren "Vt 吸收, 接收"
Abstand "m, ⸚e 间距, 距离； im Abstand von 在......(距离) 内; Abstand von jdm. / etw. halten 与......保持距离"
abstrakt "Adj, 抽象的"
absurd "Adj 荒谬的, 不合理的, 无意义的"
Abt "m, ⸚e 修道院院长"
Abteil "n, -e 车厢"
Abteilung "f, -en 部门, 系, 科"
Abtreibung "f, -en 堕胎, 驱虫"
Abwanderung "f, -en 转移, 移动"
Abwärme "f 余热, 废热"
abwärts "Adv 向下, 往下"
Abwasser "n, ⸚ 污水, 废水"
abwechselnd "Adj 交替的,轮流 的"
Abwehr "f, -en 防御, 防守;拒绝, 抵抗,; 防守部队, 保卫机关"
Abweichung "f, -en 偏离, 误差; 不相符"
Abwertung "f, -en 贬值, 降低价值"
abwesend "Adj 不在的, 缺席的"
Abwesenheit "f, -en 缺席"
Abwicklung "f, -en 办理, 进行; 清算 清理"
Abzug "m, ⸚e 撤退, 迁徙, 离去"
Achse "f, -n 轴"
acht "Num 八"
acht/geben "Vt + auf A (gibt acht, gab acht, achtgegeben) 注意, 留 心, 照看"
achte "Num 第八"
Achtel "n, - 八分之一"
achten "(Vt) 1. + auf A 注意, 照看 2. Vt 尊敬"
Achtung "f, -en 注意; 尊敬"
achtzehn "Num 十八"
achtzig "Num 八十"
Acker "m, ⸚ 耕地, 农田"
Ackerbau "m 耕作; 农艺; 农业"
addieren "Vt 加"
Adel "m, 贵族, 贵族称号; 高贵, 高尚"
Adieu "n, -s 再见"
Adresse "f, -n 地址, 住址"
Affäre "f, -en (不愉快的)事情,事 件"
Affe "m, -n 猴"
Afrika "n 非洲"
afrikanisch "Adj 非洲的"
Agent "m, -en 特务, 间谍; 代理人, 代 办"
Agentur "f, -en 代办处; 通讯社"
Aggression "f, -en 侵略, 侵犯, 攻击"
aggressiv "Adj 侵略的"
Aggressivität "f 侵略性，好斗性, 攻击性"
Agrarpolitik "f, -en 农业政策"
ägyptisch "Adj 埃及的"
Ahn "m, -en mst. Pl. 祖先, 祖父, 曾祖父"
ahnen "Vt 预感"
Ahnung "f, -en 预感； keine Ahnung von etw. haben 不知道"
Aids "n (一般不用冠词) 爱滋病"
Akademie "f, -n 科学院, (高等)专 科院校; 学会, 协会"
Akademiker "m, - 受过大学教育 者, 学会会员, 科学院院士"
akademisch "Adj 大学的, 学术的,学院的"
Akaflieg "f 试飞"
Akaflieger "m 试飞员"
Akte "f, -n 文件, 公文, 案卷"
Aktiengesellschaft "f, -en 股份公司"
Aktion "f, -en 行动, 措施; 事件"
Aktionär "m, -e 股东,股票持有人"
aktiv "Adj 主动的, 积极的"
Aktivist "m, -en 积极分子, 活动分 子"
Aktivität "f, -en 主动, 积极"
aktualisieren "Vt 使......成为现实"
aktuell "Adj 现实的"
Akustik "f 声学"
akut "Adj 迫切的, 急性的"
Akzent "m, -e 重音; (口音)腔调"
akzeptabel "Adj 可接受的"
akzeptieren "Vt 同意; 承兑"
Alarm "m, -e 警报"
albern "Adj 傻的"
Album "n, ...ben 纪念册; 照相簿; 集邮册"
Alge "f, -n 藻类植物"
Alkohol "m, -e 酒精; 含酒精饮 料"
Alkoholiker "m, - 酒徒, 好酗酒的人"
All "n 宇宙; 万物"
alle "Prom 所有的(人); 一切; 每 (隔)"
Allee "f, -n 林荫大道"
allein "Adv 单独, 独自; 但, 然而"
alleinstehend "Adj 独立的； 单身的, 独身的"
allemal "Adv 再次, 总是"
allenfalls "Adv 至多; 或许"
allerdings "Adv 当然, 不过, 固然, 却"
allerhand "Adj (不变化)各种各样的"
allerlei "Adj 形形色色的"
allermeist "Adj 绝大多数的"
allernächst "Adj 最近的"
alles "Prom 所有的, 全部 von allem 主要, 特别"
allezeit "Adv 随时"
allgegenwärtig "Adj 无所不及的"
allgemein "Adj 一般的, 普通的 im allgemeinen 一般情况下"
allgemeingültig "Adj 普遍有效 的, 通行的"
Allgemeinheit "f, -en 普遍性,一般 性; 公众, 大众; (复数)泛泛而谈"
Allianz "f, -en 同盟, 联盟"
alliieren "+ sich 结盟"
Alliierte "m/f (dekl. wie Adj ) 同盟者, 同盟国"
allmählich "Adj 逐渐的"
Alltag "m 平日, 日常, 工作日"
alltäglich "Adj 每天的, 日常的"
allzu "Adv 过分地, 过于"
allzusehr "Adv 太, 过于, 过分地"
Alphabet "n, -e 字母表"
Alptraum "m, ⸚e 恶梦"
als "Präp / Konj 1. 作为; 比(较); 似 乎 2. 当.....时, 在....后"
alsbald "Adv 随即"
also "Konj / Adv 由此可见, 因此; 那末"
alt "Adj 老的; 旧的; ......岁的; 从前的, 多年的"
Altar "m, ⸚e 祭坛"
Alte "m / f (dekl. wie Adj ) 老人, 老 者"
Alter "n, - 年龄; 老年"
Altersgruppe "f 年龄组"
Alternative "f, -n 两者选择一; 选 择"
Altertum "n, o. Pl 古代"
altgriechisch "Adj 古希腊时期的"
altmodisch "Adj 旧式的, 不时髦 的; 过时的, 落后的"
Aluminium "n 铝"
Amateur "m, -e 业余爱好者"
ambulant "Adj 活动的"
Amerika "美洲; 美国"
amerikanisch "Adj 美洲的, 美国的"
Ampel "f, -n 交通信号灯"
Amt "n, ⸚ er 机关; 局; 公职; 职务"
amtlich "Adj 官方的, 公认的"
Amtsgericht "n, -e 地方法院, 初级 法院"
amüsant "Adj 有趣的"
amüsieren "+ sich 感到有趣"
an "+ D/ + A Präp 在...旁, 到 ...旁; 在...时侯(天、日)"
an/bahnen "+ sich 出现(苗头), 显示"
an/bauen "1.Vt 耕种,扩建 2.Vi增添 3.+sich 定居"
an/bieten "Vt (bietet an, bot an, angeboten) 提供; 敬(烟、酒、茶 等)"
an/bringen "Vt 带来; 按排; 提出, 出 卖"
an/dauern "Vi 连续, 持久"
an/deuten "Vt 暗示; Vi 出现"
an/eignen "+sich (D) + A 把......据 为己有; 掌握"
an/erkennen "Vt 承认; 赞许, 重视"
an/fangen "(fängt an, fing an, angefangen) 1. Vi ( + mit) 开始 2. + A 开始, 着手"
an/fassen "Vt 抓住, 触摸; 对待, 处理"
an/fertigen "Vt 生产, 制作"
an/fordern "Vt 要求, 请求"
an/fügen "Vt 附上, 附加"
an/führen "Vt 引用, 引述; 率领"
an/geben "Vt (gibt an, gab an, angegeben) 说明, 陈述, 报告"
an/gehen "Vt (geht an, ging an, angegangen) 涉及, 关联"
an/gehören "Vi 属于"
an/greifen "Vt(greift an, griff an, angegriffen) 攻击, 进攻; 抨击; 腐蚀, 损害"
an/haben "Vt (hat an, hatte an, angehabt) (使)停住; 持续"
an/haben "Vt 穿着, 戴着"
an/halten "Vi 停住"
an/heben "1. Vt 举起 2. Vi 开始"
an/hören "1. Vt 倾听,听出 2.+sich 听 出来"
an/klagen "Vt 起诉, 控告"
an/kommen "Vi kommt an, kam an, ist angekommen) 1. 到达 2. +auf A 取决 于"
an/kündigen "1. Vt 预告 2.+sich 预 示"
an/langen "1.Vi 到达 2. Vt 涉及, 关系到"
an/legen "1. Vt 安放; 建立; 添放, 添 加 2. Vi 停泊, 靠岸"
an/machen "Vt 点燃; 开(灯、收音 机等)"
an/melden "1.+sich 预约, 报名, 申 报 2. Vt 登记, 通知"
an/nähern "1.Vt 靠近 2.+sich 使接 近"
an/nehmen "Vt (nimmt an, nahm an, angenommen) 接受; 假定, 认为"
an/ordnen "Vt 整理, 排列命令;，"
an/passen "Vt /+sich + D 使 ...... 适合于 ......, 适应于 ......"
an/pflanzen "Vt 种植, 栽种"
an/probieren "Vt 试穿"
an/rechnen "Vt 算入, 记帐;评价"
an/reden "Vt 向 ......打招呼; 攀谈; 称呼"
an/regen "Vt 鼓励, 提议; 增进"
an/richten "Vt 准备好; 摆上; 酿成, 惹起"
an/rufen "(ruft an, rief an, angerufen) 1.(+bei) 打电话(给 ......) 2.Vt 给 ...... 打电话"
an/sagen "1. Vt 预告, 口授2.+sich 预先告知来访 "
an/sammeln "Vt 收藏, 收集"
an/schließen "(schließt an, schloß an, angeschlossen) 1. Vt连接 2.+sich + etw (D) 赞成 3. +sich + an A 接着，加入"
an/schnallen "V 系住, 捆住"
an/sehen "(sieht an, sah an, ange-sehen) 1. Vt 细看, 注视 2. + sich (D) Vt 观看 3. Vt + als/für 认为, 看作"
an/setzen "1.Vt 放, 接上; 按排2.Vi (+zu D) 开始, 生长"
an/siedeln "1.Vt 使移居民2. +sich 定居"
an/spielen "1.Vt 试弹;传球 2.Vi +auf 开始玩, 出牌"
an/spornen "Vt 刺激,鼓舞"
an/sprechen "1.Vt 与 ......商量; 使 满意 2.Vi 反应, 令人满意"
an/stecken "1.Vt 别住, 套上, 传染 2.Vi 有感染力, 感染上"
an/steigen "Vi 上升, 增加"
an/stellen "Vt 开动, 发动; 雇佣"
an/stoßen "Vt/Vi +mit D 碰撞"
an/streben "Vt 谋求, 力图"
an/strengen "1. Vt 使费力, 使紧张 2. + sich 努力"
an/treffen "Vt 遇到"
an/treiben "Vt (treibt an, trie an, angetrieben) 驱赶, 驱动"
an/treten "1.Vt 踏上, 接任 2.Vi 来 到,集合"
an/tun "Vt 给某人带来 ......;激怒某 人; 穿戴"
an/vertrauen "1.Vt 委任, 信托 2.+sich 信赖,信任"
an/weisen "1.Vt 指示;规定,按排,汇寄"
an/wenden "Vt (wandte/wendete an, angewandt/ angewendt) 应用, 使 用"
an/zeigen "Vt 显示, 通告"
an/ziehen "Vt/ + sich (zieht an, zog an, angezogen) 穿衣, 穿; 吸引"
an/zünden "Vt 点燃, 点火"
analog Adj模拟的
analogisch "Adj 类似的, 类推的"
Analphabet "m, -en 文盲"
Analyse "f, -n 分析, 分解"
analysieren "Vt 分析"
Anarchie "f, -n 无政府状态; 无秩序; 混乱"
Anbau "m, -e 种植, 栽培; 添造, 扩 建"
Anblick "m, -e 看, , 一瞥; 景象, 光景; 外貌, 样子"
andauernd "1. Adj 连续的, 不停的 2. Adv 总是, 一再"
Andenken "n, - 1. o. Pl 纪念, 留念 2. 纪念品"
ander "Pron 其他的(人或物); 别 的, 另外的, 其他的 unter anderem u.a. (除......外)还"
andererseits "Adv 另一方面"
ändern "1. + A 改变 2. + sich 变化"
andernfalls "Adv 否则"
anders "Adv 不同地; 用别的方式"
anderswo "Adv 在别的地方"
anderthalb "Num 一个半, 一又二 分之一"
Änderung "f, -en 改变, 变化"
Andeutung "f, -en 暗示, 提示; 征 兆, 迹象; 画稿, 勾画"
aneinander "Adv 彼此靠近, 彼此紧 靠,互相,"
Anekdote "f, -n 名人轶事; 趣闻, 故 事"
Anerkennung "f, -en 承认; 重视; 赞赏"
Anfall "m, ⸚e 疾病等发作; (感情的) 暴发; 攻击, 袭击; (无复数)产量"
Anfang "m, ⸚e 开始, 开端"
Anfänger "m, - 初学者, 新手"
anfangs "Adv 开始, 起先"
Anforderung "f, -en 要求"
Anfrage "f, -n 询问, 质问"
Angabe "f, -n 说明, 陈述, 报告"
angeblich "1. Adj 所谓的, 自称的 2. Adv 据说, 据称"
angeboren "Adj 天生的"
Angebot "n, -e 供应, 提供; 提议; 报 价"
Angehörige "m/f (dekl. wie Adj ) 成员"
Angeklagte "f/m (dekl. wie Adj ) 被告"
Angelegenheit "f, -en 事情, 事务"
angeln "1. Vt 钓 2. Vi 钓鱼"
angemessen "Adj 合适的,恰当的"
angenehm "Adj 令人愉快的, 舒适 的"
angesichts "+G Präp 面临, 鉴于"
Angestellte "m/f (dejkl. wie Adj) 职 员, 雇员"
angewandt "Adj 应用的,实用的"
Angriff "m, -e 进攻, 抨击"
Angst "f, ⸚e 害怕, 不安"
ängstlich "Adj 害怕的, 胆怯的"
Angsttraum "m, ⸚e 恶梦"
Anhaltspunkt "m, -e 根据, 论据; 支点, 基准点, 固定点"
Anhang "m, ⸚e 附录,补遗, 附件; 追随者; 家属"
Anhänger "m, - 追随者, 拥护者; (汽车等的)拖车; (项链上的)垂饰; (行李上的)标签"
Anhäufung "f 堆积物, 淤积"
Ankauf "m, ⸚e 买下, 收购"
Anker "m, - 锚; 电枢; 地脚螺丝; 衔 铁, 簧片"
